question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
Rapid cycling is associated with which illness:,"Ans. C. Bipolar disorderBipolar disorder involves extremes of both high and low moods and a range of other symptoms. In rapid cycling, moods change quickly, with at least 4 distinct mood episodes per year.",3,Substance abuse,Schizophrenia,Bipolar Disorder,Panic disorder,Psychiatry,Mood Disorders,a5f14e18-3470-49df-bf06-9aa54cf40abd,single
Most common symptom associated with adult OCD?,"(a) Pathological doubt, Ref: Complete review of psychiatry by Dr. Prashant Agrawal, ed.,, 2018, ch- 7, pg. 164 Explanation: Variable % Obsessions (N=200) Contamination 45 Pathological doubt 42 Somatic 36 Need for symmetry 31 Aggressive 28 Sexual 26 Other 13 Multiple obsessions 60 Compulsions (N=200) Checking 63 Washing 50 Counting 36 Need to ask for confess 31 Symmetry and precision 28 Hoarding 18 Multiple compulsions 48",1,Pathological doubt,Need for symmetry,Sexual,Aggressive,Psychiatry,Mood Disorders,acd0169d-8539-46e3-a289-41fca0afcff4,single
Ganser syndrome is a feature of -,"Ans. is 'c' i.e., Dissociative disorder Dissociative disordero The essential feature of the dissociative disorder is a disruption in the usually integrated functions of consciousness, memory, identity or perception of the environment Dissociative disorder areDissociative (psychogenic) amnesia It is the most common type of dissociative disorder. Dissociative amnesia is characterized by retrograde amnesia (inability to retrieve stored memories and events leading up to onset of amnesia) and absence of antegrade amnesia (inability to form new long term memories).Dissociative fugue A dissociative fugue may be present when a person impulsively wanders or travels away from home and upon arrival in the new location is unable to remember his/her past (i.e., amnesia for early life). There is loss of personal identity and the person assumes a new identity. There is absence of awareness of amnesia during fugue episode, i.e., Patient denies any memory loss during fugue state. On recovery there is amnesia for fugue episodes and recovery of memory of earlier life (i.e., before the episode of fugue).Dissociative identity disorder (multiple personality disorder) More than one personality appears to possess the individuals, Showing their characteristic behavior. At any instance behavior and memories of one personality is exhibited, patient then is unaware of the other's existance.Depersonalization disorder : - Feeling of detachment from self is referred to as depersonalization. Individuals with this disorder will report feeling as if they are living in a dream or watching themselves on movie screen i.e., feeling detached from self and as if one is an outside observer of oneself. People with this disorder feel like they are ""going crazy"" and they frequently become anxious and depressed.Dissociative disorders not otherwise specified :-These are the disorders that are characterized by dissociative response that do not meet diagnostic criteria for one of the other dissociative disorder. Important ones areDissociative Trance (Possession) disorders There is temporary exchange of person's personality by a new personality usually attributed to a spirit or divine power. Usually the person is aware of the existance of the other, i.e., possessor (unlike dissociative identity disorder).Ganser's syndrome : - Also known as syndrome of approximate answers. This is characterized by giving approximate answers together with a clouding of consciousness, and frequently accompanied by hallucinations and other dissociative, somatoform or conversion symptoms.",3,OCD,Conversion disorder,Dissociative disorder,Schizoid personality disorder,Psychiatry,Symptoms & Signs ,7b37ca1d-7166-46df-b411-06cea03ab88c,single
Rett's syndrome is characterized by -,"Ans. is 'a' i.e., Regression of language and motor milestones Rett's syndromeo Age of onset is around 5 months.o Development may proceed normally until 1 yr of age, when regression of language and motor milestones become apparent.o This is the characteristic features, that they begin to loose their acquired skills, e.g., cognitive and head growth is normal during early period after which there is an arrest of growth,o Acquired microcephaly (Decleration of head growth due to significantly reduced brain weight).o Most children develop peculiar sighing respirations with intermittent periods of apnea that may be associated with cyanosis - Breath holding spells.o Autistic behavior is a typical finding in all patients - Impaired social interaction, language and communication.o Generalized tonic-clonic convulsions occur in the majorityo Feeding disorder and poor weight gain are commono Death occurs in adolescence or in the 3rd decadeo Cardiac arrhythmias may result in sudden, unexpected death.",1,Regression of language and motor milestones,Hyperactive child,Normal weight,Macrocephaly,Psychiatry,Mood Disorders,7c9f6920-5687-4255-98b9-1aa652db9fd1,single
Hypocretin system plays a critical role in which of the following disorders?,"Ans. D. NarcolepsyIt has become apparent that the hypo cretin system plays a critical role in narcolepsy. Narcolepsy is the prototypical example of sleepiness produced by a basic central nervous system dysfunction of sleep mechanisms. The etiology stems from a genetically triggered hypo cretin dysfunction and deficit. Insomnia is defined as difficulty initiating sleep or maintaining sleep or having nonrestorative sleep for 1 month or more. The insomnia or resulting sleepiness must cause clinically significant impairment or distress. To qualify as primary insomnia, the etiology must not be rooted in psychiatric conditions, parasomnias, substance use or abuse, sleep-disordered breathing, or circadian rhythm disorders.",4,Insomnia,Depression,OCD,Narcolepsy,Psychiatry,Mood Disorders,2fbe89f3-b583-4843-8e59-6210a21d8392,single
Early morning awakening is a feature of,"Early morning awakening is seen in depression. It is a type of insomnia patients with depression have altered dexamethasone suppression test that is no suppression of steroid in blood after administration of dexamethasone usually the steroid is produced in normal individuals at 6 Am whereas the steroids in increased amount always keeps the brain active , ruminations and decreased sleep. Different patterns of insomnia include a) difficulty falling asleep versus b) middle or terminal insomnia (early morning awakening) Reference: Kaplon and sadock, 11 th edition, synopsis of psychiatry, 11 th edition, pg no.351",3,Psychosis,Anxiety neurosis,Depression,Mania,Psychiatry,Mood disorders,1efb6fb5-7097-4cb3-8bca-059f7bf70530,single
Delusion is the disorder of:,"Ans. a (Thought)DELUSION is false belief in something that is not true.Types of delusions are:1. Primary delusions (autochthonous delusions): Arise denovo, cannot be explained on the basis of other experiences or perceptions. They are characteristic of early schizophrenia.2. Secondary delusions: Commonest delusions seen in clinical practice and many psychological disorders.Commonly seen delusions in schizophrenia are:1. Delusion of grandeur2. Delusion of persecution3. Delusion of reference4. Delusion of control.",1,Thought,Perception,Always organic,Always psychiatric,Psychiatry,Symptoms & Signs ,09608511-2c68-4690-9bf5-c02eac8764a1,single
What is affected in bipolar disorder,"Bipolar disorder earlier known as manic-depressive psychosis is characterised by recurrent episodes of mania and depression in the same patient at different times. These episodes can occur in any sequence. (Ref: a sho textbook of psychiatry, NirajAhujaa, 7th edition, pg no.73)",1,Emotions,Perception,Personality,Thought,Psychiatry,Mood disorders,cbd6afda-5de0-4038-985d-14d344469101,single
Trichophagia is characterized by -,Ans is 'b' i.e. Compulsive eating of hair o Trichophagia is compulsive eating of hair and is usually associated with trichotillomania i.e. compulsive pulling of hair.o Compulsive shopping is called Oniomania.o Compulsive stealing is called Kleptomania.Also knowo Pyromania i.e. pathological fire setting,2,Compulsive pulling of hair,Compulsive eating of hair,Compulsive shopping,Compulsive stealing,Psychiatry,Mood Disorders,f37d78a8-434a-4646-8cad-5f91edc1c4bb,single
"Tics, hair pulling, nail biting behavior are best treated with?","Ans. is 'b' i.e., Behavior therapy * Nail tic disorders are examples of body-focused repetitive behaviors (BFRBs). They are self-grooming behaviors that include pulling, picking, biting or scraping one's hair, skin or nails. They include -A) Hair pulling to the point of having seriously thinned hair or bald spots, missing eyebrows, or eyelashesB) Skin picking, resulting in scabs, sores that never heal, holes in the skin, and scarringC) Nail and/or cuticle biting, causing bleeding or infected fingertipsD) Blemish picking or squeezing, causing scarring and infectionsE) Biting the inside of the cheek* BFRBs most often begin in late childhood or in the early teens.Treatment* There are three main types of help. These are behavioral therapy, medication, and family therapy:1) Behavioral therapy is usually the preferred way. It consists of two approaches: Habit Reversal Therapy (HRT), which teaches the sufferer a set of alternative behaviors that can help them focus themselves, interrupt, and block the behavior, and Stimulus Control (SC), which teaches them how to identify, change, and control the different triggers present in their routines, environments, and moods that lead to the behaviors.2) Medication can be of help in some cases. It should be regarded as a tool to help with behavior therapy. Effective medications are Clomipramine, Selective Serotonin Reuptake Inhibitors (SSRIs),Other Antidepressants, Naltrexone, Neuroleptics, Lithium, Other Agents/ Supplements3) Family therapy can be extremely valuable in a number of ways, and can make important contributions in healing the family, and aiding the sufferers recovery.",2,Medications,Behavior therapy,ECT,Psychodynamic therapy,Psychiatry,Treatment,6d575ab1-0e65-4686-ae82-c63da550fca2,single
Post traumatic stress disorder is due to?,"Ans. is 'd' i.e., Major life treatening events Stressors for stress disorders* Stress disorders occur after an extreme traumatic events involving the threat of personal death or injury. They can arise from experiences in war, torture, natural catastroph (earthquake, volcano, floods), assault, rape, and serious accidents (e.g., in car) in burning building.* Symptoms of PTSD develop within 6 months of stressor, However 10% patients have delayed onset.Risk factors for Stress disorders1) Vulnerability factors: - Low education, Lower social class, female gender, low self esteem/neurotic traits, previous traumatic events (including childhood trauma), previous self or family history of psychiatric problems (mood/ anxiety disorders).2) Protective factors: - High IQ, higher social class, male gender, psychopathic traits, chance to view body of dead relative / friend.3) Biological factors: - Following systems are hyperactive in PTSD : -a) Noradrenergic systemb) Opioid systemc) Hypothalamic-pituitary-adrenal (HDA) axis* Recently, the role of Hippocampus in PTSD has received increased attention. Animal studies have shown that stress is associated with structural changes in the hippocampus, and studies of combat veterans with PTSD have revealed a lower average volume in the hippocampal region of the brain. Structural changes in the amygadala, an area of the brain associated with fear, have also been demonstrated.",4,Head injury,CVD,Minor stress,Major life threatening events,Psychiatry,Anxiety & Stress,923f811b-cc57-45e4-9134-8c50221a63be,single
A bipolar disorder patient is kept on lithium therapy. As a doctor when are you going to ask the nurse to get serum lithium levels checked ?,Lithium has been found to decrease both suicide attempts and completed suicides in a patient with bipolar disorder. Extra edge : Only antipsychotic with antisuicide propey : Clozapine,2,Immediatly as soon as the last dose given,12 hours after the last dose,24 hours after the last dose,8 hrs after the last dose,Psychiatry,Mood Disorders,6e3847de-d9c2-4d30-98b7-e952106441f1,single
Bipolar II disorder includes -,"Ans. is 'd' i.e., Major depression and hypomania o Bipolar mood disorder include mania (recurrent episodes of mania alone), and episodes of mania & depression (manic - depressive illness). Bipolar disorder can be categorized into : - Bipolar I: - Episodes of mania and major depression with euthymic (normal mood) in between. Bipolar II: - Episodes of hypomania (rather than mania) and major depression. o Cyclothymic disorder It is a more subdued version of bipolar disorder, characterized by depressive spells and hypomanic times that never have sufficient intesity or duration to meet full diagnostic measure. It has to be chronic (2 years or more). Note: As the duration is > 2 years, cyclothymia is also considered as persistent mood disorder, o Bipolar NOS (not otherwise specified): - Episodes of mania and depression that can't fit into any other bipolar categories. o Some genes play an important role in bipolar mood disorder. Genes on long arm of chromosome 18 fpGt94> may plav a role in some families. Other chromosome involved are 22 and 21. The current episode in bipolar mood disorder is specified as one of the following 1. Hypomania 2. Mania without psychotic features 3. Mania with psychotic fetures 4. Mild or Moderate depression 5. Severe depression with psychotic symptoms 6. Severe depression without psychotic symptoms 7. Mixed, or 8. In remission",4,Cyclothymic disorder,Dysthymia,Single maniac episode,Major depression and hypomania,Psychiatry,Bipolar Disorder,2f17f1b7-ca39-4a56-af39-0ce64a5d371b,single
Which of the following is a classical symptom of depression?,"Ans: C (Guilt) Ref: Synopsis of psychiatry-, Kaplan & Sadock, 10th editionExplanationDepressionIt is a common psychiatric syndrome characterized by persistent & pervasive sad mood,Because of such sad mood, the person might feel guilty, which in turn gives rise to thoughts like worthlessness, hopelessness & helplessness (Cognitive triad of Beck), which in turn put him/her at risk of ending life (ie., suicide).The other symptoms mentioned in the question do occur in any psychiatric disorder.So, the best answer would be ""'Guilt"" which is pathognomonic of depression.",3,Altered sleep pattern,Weight loss,Guilt,Decreased appetite,Psychiatry,Major Depression,5ac5cc60-3843-4ed8-abdd-2c9cc47f6e87,single
Lithium is used in prophylaxis of,Ans. is 'd' Recurrent manic depressive attacks Lithium is used in prophylaxis of manic depressive illness.,4,Recurrent phobia,Alcohol dependence,Paranoid Schizophrenia,Recurrent manic depressive attacks,Psychiatry,Bipolar Disorder,5a9bbc11-81f5-4455-bfb1-647ca3a80585,single
"A 31 - year - old male, with mood disorder, on 30 mg of haloperidol and 100 mg of lithium, is brought to the hospital emergency room with history of acute onset of fever, excessive sweating, confusion, rigidity of limbs and decreased communication for a day. Examination reveals tachycardia and labile blood pressure and investigations reveal increased CPK enzyme levels and leukocytosis. He is likely to have developed:",Antipsychotic drugs have Extrapyramidal symptoms- dur to D2 blockade in limbic system Extrapyramidal symptoms Clinical features Special DOC Malignant neuroleptic syndrome Fluctuating level of consciousness Hypehermia Muscles rigidity Increase level of CPK Increase level of liver enzyme Confusion Diaphoresis Most common cause of death in this syndrome is acute renal failure Most serious side effect Dantrolene,3,Lithium toxicity,Tardive dyskinesia,Neuroleptic malignant syndrome,Hypeensive encephalopathy,Psychiatry,Mood Disorders,fa3cb46f-1e2a-4f44-a3ab-a18afa2defd8,single
reinforcrmrnt theory in management of behavioral issues was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",2,lorenz,skinner,seligman,mary ainswoh,Psychiatry,Treatment in psychiatry,7b6aa345-75df-448f-883a-1a9159b07084,single
Phobia is a type of,"In ICD-10, neurosis, stress-related and somatoform disorders have been classified into the following types: Phobic anxiety disorders Other anxiety disorders Obsessive-compulsive disorders (Ref: a sho textbook of psychiatry, Niraj Ahuja,7th edition, pg no 89)",2,Psychosis,Neurosis,Mania,Depression,Psychiatry,Anxiety disorders stress disorders and grief,24ab5dfe-5b8b-4e0a-8878-09c379a24d16,single
Repetitive irresesistable thought to do something-,"Ans. is 'b' i.e., Obsession Obsessive compulsive disorder (OCD)o OCD is an anxiety disorder which is characterized by recurrent, unwanted thoughts (Obsessions) and repettive behaviors (compulsions). o An obsession has following characteristic : -i) An idea, impulse or image which intrudes into the conscious awareness repeatedly.ii) It is recognized as one's own ideas, impulse or image but is perceived as egoalien (foreign to one spersonality).iii) It is recognized as irrational and absurd (insight is present - Patient knows about disorder).iv) Patient tries to resist against it but is unable to do so which leads to marked distress or anxiety.o A compulsion has following characteristics >i) It is repetitive, purposeful form of behavior is carried out because of strong feeling of compulsion to do so.ii) It usually follows an obsession.iii) Its goal is to prevent or reduce the anxiety or stress caused by obsession however it do not always succeed in doing so.iv) It is irrational or excessive and not realistic.v) Insight is present.o A patient with OCD may have an obsession, a compulsion or both (mostly patients have both).o A patient with OCD realizes the irrationality of the obsession and experiences both the obsession and the compulsion as ego-dystonic (unwanted behavior).o The person is preoccupied with details rules, list order, organisation or schedules to the extent that the major point of activity is lost.o The person shows perfectionism that interfers with task completion (e.g., unable to complete project because his own overtly strict standard are not met).",2,Phobia,Obsession,Compulsion,Anxiety,Psychiatry,Symptoms & Signs ,0f27bc19-ce9a-4895-ab4f-e61050bca628,single
An engineering student has difficulty to deliver seminar with a fear that his seniors are present despite knowing that they are supportive. He further has difficulty speaking in front of others and also avoids going to the parties. Which of the following is the most likely diagnosis?,Ans. C. Social phobiaHere the fear is performing in public and there is also avoidance of social situations (i.e. avoidance of parties).,3,Agoraphobia,Claustrophobia,Social phobia,Acrophobia,Psychiatry,Anxiety & Stress,9049a9ab-6e97-4eb5-8d60-8792bfb09164,single
"A 25-year-old man presents to the outpatient department with the complaint that he has been depressed ever since he can remember. In addition, he also has disturbance in sleep and appetite. However, he has been working, though not to the level of satisfaction of him or his supervisors. The patient also has general dissatisfaction with life. The most likely diagnosis is:",Ans. C. DysthymiaDysthymia: it's presence of mild depressive symptoms (not enough to diagnose a MDD) for a period of at least 2 years - socio-occupational dysfunction is not markedIn DSM-5: persistent depressive disorder (clubbed chronic depression + dysthymia),3,Major depression,Psychotic depression,Dysthymia,Chronic fatigue syndrome,Psychiatry,Mood Disorders,a0892fd4-250a-4d5c-9d5b-c2960b858f82,single
"A physician examines a severely depressed 75-year-old woman. The woman relates that she feels so low that she cannot enjoy anything in her life, and that even winning the state lottery would not make her feel any better. The best description of this patient's mood is","This severely depressed 75-year-old woman is showing anhedonia, the inability to feel pleasure, a characteristic of severe depression. Euphoric mood is an elated mood, while euthymic mood is a normal mood, with no significant depression or elevation. Dysphoric mood is a subjectively unpleasant feeling. Labile moods (mood swings) are alterations between elevated and dysphoric moods.",1,anhedonic,dysphoric,euthymic,labile,Psychiatry,Mood Disorders,5183e0ab-a769-4464-a81c-f8abf19aaf0b,single
Treatment of resistant depression is -,"Ans. is 'a' i.e., ECT Treatment of depression1) Drugs : - The treatment of major depression usually requires starting pharmacotherapy with antidepressants. Antidepressants are : -i) Tricyclic antidepressants (TCAs) : - Imipramine, Amitriptyline, Trimipramine, Clomipramine, Desipramine, Nortriptyline, Amoxapine, Reboxetine.ii) SSRI (selective serotonin reuptake inhibitors) : - Fluoxetine, Paroxetine, sertaline, Citalopram, Escitalopram. These drugs devoid of side effects seen with TCAs and are safe in elderly.iii) Atypical antidepressants : - Trazodone, Mianserine, Mitrazapine, Venlafaxine, Duloxetine, Tianeptine, Amineptine, Bupropion.Not all patient recover completely after treatment; about 25% cases are refractory to treatment. Recurrence rate is 50% after 1st episode and 90%after 3rd episode.2) ECT (Electroconvulsive therapy) : - Indications of ECT in depression are : -i) Suicidal risk (AIIMS 01,00, AI 94, MAHE 01)ii) Depression with psychotic featureiii) Resistant depressioniv) Severe agitated or stuporous depression with lack of self care.3) Psychotherapy : - Supportive psychotherapy, connitive behavioral psychotherapy.",1,ECT,SSRI,TCAs,Venalafexine,Psychiatry,Major Depression,764155a3-433c-436b-bf94-2279176c9f23,single
"A 22yrs old male suffer from decreased sleep, increased sexual activity, excitement and spending excessive money for 8 days. The diagnosis is","Symptomatic profile of the patient suggests the diagnosis, Characteristic Feature of Mania: Elation of Mood Delusion of Grandeur Increased psychomotor activity (usually goal oriented) Speech and thought: More talkative Pressure of speech, use playful language Flight of ideas Reduced sleep Over activity and poor judgment - this person is involved in high risk activities like buying sprees, reckless driving, foolish business investments, distributing money or aicles of unknown persons.",2,Confusion,Mania,Hyperactivity,Loss of memory,Psychiatry,Mood Disorders,de409c9f-a9d1-4922-8f8a-593de7d4a29e,single
"A 29 year old woman has severe manic episode. She has been diagnosed with bipolar affective disorder. Among the following, which one is not used for the prophylaxis of her illness?","Ans. D. TrifluoperazineLithium, Valproate and Carbamazepine are used in prophylaxis of Bipolar disorder.It requires frequent blood level monitoring owing to its narrow therapeutic index because lithium is the drug of choice.Sodium valproate cannot be utilized owing to possible teratogenicity to the foetus in women of childbearing age. All mood stabilizers work by preventing manic episodes having minimal effect on the depression.",4,Valproate,Lithium,Carbamazepine,Trifluoperazine,Psychiatry,Mood Disorders,e162d7cf-4319-4bdd-a6ae-4e27a7085717,single
"In depression, there is deficiency of","The Karolinska Institute in Sweden first noted that low concentrations of the serotonin metabolite 5-hydroxyindoleacetic acid (5-HIAA) in the lumbar cerebrospinal fluid (CSF) were associated with suicidal behavior. CSF, neurochemical, and receptor studies suppo the hypothesis that reduced central serotonin is associated with suicide. Reference: Synopsis of Psychiatry, pages 766,767.",1,5-HT,Acetylcholine,Dopamine,GABA,Psychiatry,Mood disorders,d72728ad-3f45-49d4-82aa-046e5075738e,single
Floccilations are seen in?,ANSWER: (D) DeliriumREF: Kaplan and saddok's p: 26Aimless picking of bed clothes or clothing is known as floccillations. It is seen in dementia and delirium.,4,Mania,Depression,Anxiety disorders,Delirium,Psychiatry,Symptoms & Signs ,f43e488a-4e54-4d41-b539-6281fb407cc2,single
Dysthymia is,"Persistent mood disorders are characterised by persistent mood symptoms which last for more than 2 years but are not severe enough to be labelled as even hypomania or mild depressive episode. If the symptom consists of persistent mild depression, the disorder is called as dysthymia (Ref: A sho textbook of psychiatry, Niraj Ahuja,7th edition, pg no73)",1,Chronic mild depression,Chronic severe depression,Bipolar disorder,Personality disorder,Psychiatry,Mood disorders,12bebc24-81b9-4ffc-a1ae-d3059efd03a4,single
